"X";"Y";"H";"Rho1";"Rho2";"Rho3";"Rho4";"Rho5";"Rho6";"Gamma"
14.45153;52.36373;101.4;13;10;10;12;15;19;1.65
14.45157;52.36374;102;14;13;10;12;18;24;1.65
14.45161;52.36375;102;14;11;10;13;20;31;1.63
14.45164;52.36376;102.1;15;13;11;14;20;40;1.61
14.45167;52.36376;102.1;16;15;11;15;27;42;1.57
14.45171;52.36377;102.2;17;15;14;18;28;49;1.52
14.45175;52.36378;102.2;21;24;19;25;42;53;1.46
14.45178;52.36378;102.3;28;27;30;37;43;63;1.4
14.45182;52.36379;102.3;41;53;49;57;65;75;1.35
14.45186;52.3638;102.4;62;82;73;78;77;90;1.29
14.4519;52.36381;102.5;91;94;94;94;99;103;1.25
14.45193;52.36381;102.7;122;134;108;106;89;115;1.23
14.45196;52.36382;102.8;149;123;110;109;101;114;1.22
14.452;52.36383;102.8;170;173;103;102;93;107;1.21
14.45203;52.36384;102.8;180;147;89;93;103;99;1.2
14.45207;52.36385;102.7;181;118;77;86;99;89;1.19
14.4521;52.36386;102.7;178;136;67;79;82;79;1.17
14.45214;52.36386;102.7;175;120;69;73;72;79;1.16
14.45218;52.36387;102.7;174;114;67;68;71;79;1.17
14.45221;52.36388;102.6;174;106;66;64;81;80;1.17
14.45225;52.36389;102.6;176;98;66;59;60;80;1.17
14.45228;52.3639;102.6;177;129;65;56;73;82;1.17
14.45232;52.3639;102.6;180;114;62;54;64;74;1.17
14.45235;52.36391;102.6;182;112;67;54;58;72;1.18
14.45239;52.36392;102.7;185;135;73;55;69;73;1.18
14.45242;52.36393;102.5;189;134;84;58;64;77;1.19
14.45245;52.36393;102.4;196;128;94;62;72;80;1.18
14.45248;52.36394;102.4;201;162;102;66;73;88;1.17
14.45252;52.36395;102.4;205;147;107;70;77;89;1.15
14.45255;52.36396;102.6;206;162;111;75;81;85;1.14
14.45259;52.36397;102.6;206;166;105;77;79;80;1.14
14.45262;52.36397;102.6;205;160;101;81;77;81;1.12
14.45265;52.36398;102.7;205;147;98;85;79;85;1.11
14.45269;52.36399;102.7;208;164;96;90;71;93;1.11
14.45272;52.36399;102.6;221;175;93;93;100;109;1.11
14.45274;52.364;102.7;237;187;96;102;107;121;1.1
14.45277;52.364;102.7;252;199;99;102;120;119;1.09
14.4528;52.36401;102.7;267;166;101;100;116;112;1.08
14.45283;52.36402;102.6;275;152;102;97;93;105;1.06
