E,N,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.6,Gamma
14.05755833,52.40344165,60.45700073,242.9276278,274.5304007,542.3662501,249.9160461,1359.689106,1.175727548
14.05759167,52.40345999,60.47399902,217.1579619,243.7420048,354.7652688,406.8231906,1290.617644,1.179941309
14.05762667,52.40347834,60.50799942,164.4858346,210.3076915,220.7566309,132.3528118,517.6531745,1.222143085
14.05766167,52.40349668,60.56000137,95.60146579,83.32801639,120.5230987,119.6110521,328.9913332,1.246376392
14.057695,52.40351499,60.60100174,62.50731756,51.22249207,132.800575,61.35736967,295.491218,1.211735468
14.05772833,52.40353333,60.64300156,68.15065211,65.63947794,89.61538063,31.97176504,162.3393841,1.245316998
14.05776167,52.40354999,60.67100143,77.17760051,68.62445035,113.1903473,77.63142341,161.1391572,1.281990222
14.05779334,52.40356833,60.66899872,72.90969061,72.28081336,73.56135199,92.9134403,139.1669765,1.257490656
14.05782667,52.40358499,60.67499924,64.95156427,58.85630289,57.41842411,52.4071499,118.9954837,1.241949078
14.05786,52.40360333,60.66699982,81.69863916,64.93454166,55.22980781,7.217894,153.5091775,1.204654706
14.057895,52.40362167,60.64300156,136.8834811,147.4421331,270.011646,154.3038278,408.1639205,1.217389301
14.05793,52.40363998,60.61399841,151.7919022,179.6461228,219.1756087,160.3807568,555.6931251,1.247803186
14.057965,52.40365833,60.59700012,197.4722165,262.3308605,366.0840375,303.0777821,502.0666599,1.208213843
14.058,52.40367667,60.59500122,224.5203559,243.2471807,451.5901345,377.0559224,915.3181883,1.157174362
14.058035,52.40369501,60.57600021,258.9305255,342.5130192,479.6652604,447.0448221,1214.546101,1.143472977
14.05807,52.40371332,60.56700134,226.6228773,302.7314173,458.4771177,516.1587637,1170.680999,1.149486966
14.05810334,52.40373166,60.57899857,271.5230635,379.8994349,626.1044831,485.5268869,1174.33104,1.146017429
14.05813834,52.40375166,60.58800125,302.6444072,416.4971026,449.3332286,463.7082073,1493.055576,1.148025159
