E,N,H,Rho 1,Rho 2,Rho 3,Rho 4,Rho 5,Rho 6,Gamma,V,Kurs,Strecke gesammt,GWI
13.27105166,52.20304834,42.20299912,372.6747104,275.7351559,218.0383762,177.0786235,1.088967387,237.8304852,0.988919879,13.27000046,25.5,0.398197743,0.265357388
13.27107499,52.20307833,42.11700058,293.7392573,316.2863786,181.9253791,165.8369907,2.583396187,164.2623912,0.968771094,13.10000038,25.39999962,0.401814616,0.329806476
13.27109833,52.20310833,42.00400162,470.9277215,303.5166002,204.3252747,190.6556974,1.713289528,164.7100962,0.945033499,13.42000008,24.39999962,0.405494557,0.20067485
13.27112335,52.20313834,41.88899994,353.9748555,243.8800672,177.8504356,179.4037533,0.585817082,145.2643344,0.950799054,13.56000042,26.79999924,0.409239932,0.268606382
13.27114668,52.20316833,41.78900147,331.7525008,254.8533183,180.4259284,165.9736648,0.326885414,140.4645897,0.954164774,13.27000046,25.70000076,0.413026446,0.287613438
13.27117001,52.20319834,41.66999817,249.6137332,273.7240854,277.2879577,257.9537048,3.591762658,223.4551828,0.951055548,13.31000042,26.79999924,0.416707296,0.381010907
13.271195,52.20322833,41.53099823,242.0760115,188.9408821,149.097857,112.0257381,1.9937251,137.5470992,0.980844467,13.47999954,25.20000076,0.420416729,0.405180365
13.27121833,52.20325999,41.38999939,325.1781432,189.4914182,135.6152474,114.4568735,3.402124016,145.5190762,0.999048087,14.11999989,24.39999962,0.424266415,0.307231008
13.27124167,52.20329167,41.2480011,380.0122709,295.7495321,218.6647973,164.3852201,3.10872982,214.7634031,0.959954932,13.86999989,24.10000038,0.428097438,0.252611562
13.27126665,52.20332166,41.08499908,414.8073601,304.2248947,203.7547621,150.0289574,3.597027495,161.8267149,0.960828162,13.82999992,25.5,0.431957433,0.23163238
13.27129167,52.20335333,40.91600037,361.6243123,222.8226428,166.6029399,137.1532066,3.359253679,150.235543,1.02787803,14.0699997,25.39999962,0.435823679,0.284239194
13.27131666,52.203385,40.79700089,319.0898496,206.1908134,112.8668893,89.8484293,2.371748467,135.7885935,1.045792844,14.14000034,26.20000076,0.439746824,0.327742435
13.27134333,52.20341667,40.62099838,330.7688613,198.3637474,145.8191423,120.1333477,1.723274427,228.2168567,0.996159503,14.02000046,28.60000038,0.443652518,0.301164837
13.27137168,52.20344667,40.45999908,302.8092398,179.5773303,130.3856772,82.4544453,0.512144772,247.8610065,0.943405847,14.36999989,28.39999962,0.447631897,0.311551209
13.27139667,52.20347834,40.33000183,323.107669,261.6759955,197.9039424,137.8906479,1.25878504,134.5101774,0.940319037,13.84000015,25.5,0.451508731,0.291023435
13.27142166,52.20351,40.17900085,404.8196612,264.5681024,190.618159,138.9383255,0.362488773,243.427696,0.95496456,13.65999985,25.60000038,0.455335551,0.23589876
13.27144667,52.20354001,40.04000092,476.0234563,343.9979688,218.3769003,151.6381141,1.172733039,169.3086094,0.952797552,13.85999966,26.39999962,0.459181853,0.20015769
13.27147334,52.20357167,39.9469986,606.962693,600.5100221,462.3418501,315.2708932,1.442790426,285.6940481,0.942617947,13.92000008,27.29999924,0.463010963,0.155300805
13.27149833,52.20360166,39.84700012,797.8164275,869.3844298,821.7089484,689.7896052,3.122560673,567.6443266,0.93581095,13.89000034,26.10000038,0.466911196,0.117296526
13.27152166,52.20363334,39.8219986,790.0194118,890.6271735,881.641939,783.3720145,2.702681914,644.4333804,0.955100491,13.47000027,26.10000038,0.470778601,0.120895826
13.271545,52.20366166,39.77700043,892.6033518,913.0457814,855.8972357,743.024883,2.351913088,658.5548076,0.923498914,12.97000027,26.79999924,0.47434557,0.103461287
13.27156833,52.20369167,39.74700165,900.4614261,1006.880229,941.9105679,836.5900044,1.957758613,730.8208266,0.916809348,12.61999989,26.60000038,0.477905739,0.101815505
13.27159166,52.20372,39.73099899,889.0833838,949.8028023,853.7181789,807.3103814,1.648911955,770.3813906,0.937653989,12.82999992,27.20000076,0.481471316,0.105462998
13.271615,52.20374834,39.73199844,850.6757371,818.0949343,1014.264593,964.4578425,1.259070061,819.3621254,0.908771735,12.85999966,26.70000076,0.485056448,0.106829394
